Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"main axis of advance feint",MainAxisOfAdvanceFeint,"FM 1-02.2 + APP-06",151406,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"main supply route",MainSupplyRoute,"FM 1-02.2 + APP-06",330300,Y,,,,Y,Y,,,,Y,,,,,,,,,,,
"mine cluster",MineCluster,"APP-06",290400,,,,,Y,Y,,,,,,,,,,,,,,,
"mined area, fenced",MinedAreaFenced,"APP-06",270801,,,,Y,Y,,,,,,Y,,,,,,,,,,
"minefield, dynamic depiction",MinefieldDynamicDepiction,"APP-06",270707,,,,Y,Y,,Y,,,,Y,,,,,,,,,,
"mineline",Mineline,"APP-06",290101,,,,,Y,,,,,,Y,,,,,,,,,,
"minimum risk route",MinimumRiskRoute,"FM 1-02.2 + APP-06",170300,Y,,,,Y,,Y,Y,,,,,,Y,Y,Y,,,,,
"minimum safe distance zone",MinimumSafeDistanceZone,"FM 1-02.2 + APP-06",272100,,,,,Y,,,,,,,,,,,,,,,,
"minimum safe distance zone, multiple strike (STRIKWARN)",MinimumSafeDistanceMultipleStrike,"FM 1-02.2 + APP-06",272101,,,,,Y,,,,,,,,,,,,,,,,
"missile engagement zone",MissileEngagementZone,"FM 1-02.2 + APP-06",171600,Y,,,,Y,Y,Y,Y,,,,,,Y,Y,,,,,,
"mobile defense",MobileDefense,"FM 1-02.2 + APP-06",152800,,,,,Y,,,,,,,,,,,,,,,,
"mobility corridor",MobilityCorridor,"APP-06",142100,Y,,,,Y,,,,Y,,,,,,,,,,,,
"movement to contact",MovementToContact,"FM 1-02.2",,,,,,Y,,,,,,,,,,,,,,,,
"munition flight path",MunitionFlightPath,"FM 1-02.2 + APP-06",260600,,,,,Y,,Y,Y,,,,,,,,,,,,,
"named area of interest",NamedAreaOfInterest,"FM 1-02.2 + APP-06",120200,Y,,,,Y,Y,,,,,,,,,,,,,,,
"named area of interest line",NamedAreaOfInterestLine,"APP-06",142000,Y,,,,Y,Y,,,,,,,,,,,,,,,
"neutralize",Neutralize,"FM 1-02.2 + APP-06",341600,,,,,,,,,,,,,,,,,,,,,
